"File: DDELog(Excel:M16	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M16_DRG_20_7\M16.LOG"
"Date: Wed Jul 20 2022 14:26:16.938"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
36.6980
83.7060
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (322, 168), Size: (34, 28), Area: 732]"
"Region 2: [Location: (396, 250), Size: (40, 42), Area: 1300]"
"Region 3: [Location: (452, 415), Size: (21, 21), Area: 305]"
"Region 4: [Location: (399, 416), Size: (32, 33), Area: 812]"
"Region 5: [Location: (351, 252), Size: (21, 21), Area: 305]"
"Region 6: [Location: (321, 257), Size: (25, 47), Area: 913]"
"Region 7: [Location: (293, 359), Size: (21, 21), Area: 305]"
"Region 8: [Location: (275, 356), Size: (21, 22), Area: 358]"
"Region 9: [Location: (268, 342), Size: (21, 21), Area: 305]"
"Region 10: [Location: (170, 182), Size: (37, 33), Area: 933]"
"Region 11: [Location: (1, 41), Size: (21, 21), Area: 305]"
"Region 12: [Location: (73, 121), Size: (27, 28), Area: 584]"
"Region 13: [Location: (24, 250), Size: (29, 31), Area: 695]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg", "R11 W1 Avg", "R11 W2 Avg", "R12 W1 Avg", "R12 W2 Avg", "R13 W1 Avg", "R13 W2 Avg"
15.0090, 1669.5683, 3251.0533, 1650.6738, 3145.5508, 1636.4525, 2471.0820, 1642.5025, 2986.4692, 1638.9377, 2849.4295, 1623.2826, 2492.6276, 1647.1410, 3082.5934, 1649.0978, 3086.9441, 1648.3410, 2821.7672, 1633.8939, 2611.1533, 1658.5213, 3420.6262, 1596.3082, 1622.7808, 1593.9065, 1607.5079
16.0090, 1670.7309, 3258.6202, 1652.0385, 3146.5115, 1639.1115, 2469.5934, 1642.5739, 2980.5135, 1640.6492, 2846.5607, 1625.0219, 2493.7645, 1645.6393, 3081.5180, 1646.1508, 3086.0363, 1647.4262, 2817.1836, 1635.0900, 2615.3355, 1657.8262, 3425.9443, 1596.1558, 1623.5068, 1593.8129, 1608.2547
17.0090, 1670.0519, 3260.4522, 1650.8277, 3144.4054, 1636.9311, 2472.9115, 1640.2131, 2984.1071, 1638.7574, 2845.8295, 1622.8423, 2492.3647, 1642.4721, 3077.4000, 1645.5587, 3089.4274, 1646.8426, 2811.4787, 1635.7760, 2615.2529, 1657.5410, 3423.0393, 1596.6455, 1624.3767, 1592.9957, 1607.7914
18.0090, 1668.2432, 3226.9303, 1651.0708, 3141.8031, 1637.9311, 2466.1607, 1641.7389, 2986.6429, 1642.1639, 2849.2066, 1624.0668, 2494.7437, 1642.9148, 3077.0918, 1646.9274, 3085.1034, 1647.4393, 2816.9213, 1634.3398, 2614.4930, 1659.4033, 3424.8262, 1597.2209, 1623.6712, 1593.6777, 1608.8446
19.0090, 1671.3538, 3221.5191, 1651.2085, 3145.8969, 1637.1574, 2469.0820, 1641.7746, 2981.8744, 1639.2590, 2843.7770, 1624.3133, 2492.6396, 1643.7672, 3078.5770, 1645.7179, 3083.7179, 1646.4754, 2813.7508, 1634.8435, 2611.9871, 1657.1967, 3422.4656, 1594.9863, 1624.1558, 1592.8719, 1608.6662
20.0090, 1671.4973, 3139.2104, 1651.2300, 3149.2731, 1638.2098, 2466.8328, 1641.5197, 2984.1663, 1639.1574, 2841.8197, 1624.2442, 2492.9814, 1643.4787, 3079.9148, 1646.6480, 3085.2877, 1646.4426, 2813.4754, 1635.1233, 2616.6527, 1657.1180, 3421.0820, 1595.8750, 1622.4144, 1592.9252, 1608.4374
21.0090, 1672.3347, 3068.3197, 1651.5400, 3152.7515, 1635.9803, 2467.7311, 1641.4951, 2985.7980, 1637.9967, 2838.6131, 1624.5422, 2492.2651, 1644.3016, 3074.9508, 1647.8296, 3087.7542, 1650.4033, 2809.3541, 1634.5230, 2613.9646, 1657.8098, 3424.6656, 1595.6558, 1622.2860, 1592.9583, 1608.2489
22.0090, 1672.6803, 3084.8415, 1650.8815, 3154.7408, 1637.5672, 2465.9836, 1640.5357, 2985.1675, 1642.4557, 2842.0098, 1623.5772, 2492.4545, 1646.1049, 3071.8098, 1649.2207, 3086.4525, 1647.4984, 2816.3541, 1633.6645, 2613.2476, 1654.7967, 3435.6525, 1596.3253, 1621.4247, 1593.9727, 1608.4532
23.0090, 1673.0820, 3099.9303, 1650.4862, 3160.2277, 1639.0885, 2473.2328, 1641.4963, 2984.4470, 1639.2721, 2834.3148, 1623.7853, 2488.0613, 1642.9803, 3076.4623, 1646.5922, 3084.5782, 1647.8033, 2812.3049, 1635.7363, 2613.8617, 1654.8197, 3422.9082, 1597.1832, 1622.4777, 1593.2115, 1609.3410
24.0090, 1673.9290, 3111.1913, 1651.8877, 3158.1323, 1635.8098, 2465.3967, 1642.2796, 2986.6010, 1641.8623, 2828.5705, 1625.1610, 2490.5433, 1642.9639, 3073.9738, 1647.0028, 3085.1927, 1650.2492, 2805.0590, 1634.7631, 2611.3151, 1658.3639, 3419.7541, 1595.1592, 1623.2175, 1594.5698, 1609.0417
