"File: DDELog(Excel:M6_DRG	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M6_DRG_19_7\M6.LOG"
"Date: Tue Jul 19 2022 14:28:39.328"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
57.3710
96.5950
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (288, 70), Size: (33, 40), Area: 1022]"
"Region 2: [Location: (279, 242), Size: (27, 37), Area: 763]"
"Region 3: [Location: (288, 392), Size: (35, 38), Area: 1026]"
"Region 4: [Location: (448, 472), Size: (21, 21), Area: 305]"
"Region 5: [Location: (151, 104), Size: (42, 31), Area: 1002]"
"Region 6: [Location: (95, 183), Size: (52, 45), Area: 1816]"
"Region 7: [Location: (104, 286), Size: (69, 59), Area: 3137]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg"
27.0560, 1712.6996, 4012.0656, 1822.3853, 4038.2398, 1706.8314, 5186.9552, 1609.5967, 2355.4295, 1656.9431, 3407.6437, 1594.3678, 1628.0325, 1594.3226, 1625.3959
28.0560, 1711.0558, 4020.7466, 1821.4037, 4048.8440, 1706.6267, 5178.2632, 1610.8984, 2347.2984, 1655.3014, 3405.0669, 1594.3442, 1628.1261, 1593.9863, 1625.4523
29.0560, 1713.0000, 4024.5401, 1820.1756, 4068.9908, 1704.8177, 5181.0487, 1611.9410, 2352.4721, 1657.1088, 3403.5589, 1595.8552, 1628.4411, 1595.2920, 1626.0851
30.0560, 1712.6409, 4026.5440, 1821.6920, 4082.6566, 1705.9386, 5181.0585, 1609.3967, 2349.8393, 1656.6487, 3406.2834, 1596.4328, 1627.4983, 1592.7890, 1626.1693
31.0560, 1710.0137, 4034.0215, 1820.6933, 4057.2202, 1704.5526, 5187.0331, 1609.5377, 2349.6131, 1655.8812, 3405.9621, 1595.2247, 1627.6211, 1593.4689, 1626.8722
32.0560, 1711.5558, 4033.0431, 1820.0904, 4081.0419, 1703.2164, 5189.0673, 1610.2230, 2349.9377, 1656.6966, 3409.0299, 1596.4317, 1628.9141, 1593.6940, 1625.0453
33.0560, 1712.0157, 4037.7554, 1818.9633, 4104.9685, 1706.1579, 5188.0331, 1610.8885, 2349.7443, 1655.9960, 3408.2216, 1596.2192, 1628.0374, 1594.6943, 1626.4798
34.0560, 1711.6712, 4040.0519, 1818.9738, 4124.8021, 1704.8304, 5184.2710, 1612.2820, 2348.6000, 1657.2395, 3406.8084, 1597.5452, 1628.9526, 1594.8017, 1626.1980
35.0560, 1712.2495, 4049.0225, 1821.8663, 4125.0026, 1706.1248, 5189.1452, 1610.0525, 2353.2197, 1656.3653, 3409.1108, 1597.5831, 1628.5518, 1594.5113, 1625.7211
36.0560, 1710.5489, 4050.9070, 1820.2792, 4141.0459, 1705.8070, 5187.1365, 1611.5344, 2348.8984, 1655.7305, 3408.1467, 1595.1151, 1627.6646, 1594.7157, 1626.4093
37.0560, 1711.6057, 4058.6771, 1819.0760, 4165.9882, 1704.7671, 5188.6696, 1610.4623, 2353.1967, 1655.8663, 3408.2784, 1597.0446, 1627.8651, 1595.2630, 1626.3593
38.0560, 1712.2564, 4060.8356, 1820.1022, 4184.7667, 1704.6277, 5189.9435, 1610.5967, 2349.8918, 1657.3892, 3416.0080, 1597.0496, 1629.2731, 1594.0765, 1625.5027
39.0560, 1711.9452, 4068.6125, 1821.0799, 4168.8912, 1704.3899, 5187.1949, 1610.9639, 2348.5738, 1654.7315, 3417.0928, 1597.3750, 1628.7406, 1594.3105, 1626.1014
40.0560, 1710.5460, 4075.5851, 1820.5098, 4188.3512, 1704.9903, 5186.5400, 1612.4197, 2350.3410, 1656.1068, 3412.0639, 1595.7874, 1627.0848, 1594.5371, 1625.7453
41.0560, 1710.5724, 4081.3249, 1817.8598, 4208.9410, 1703.2290, 5189.3431, 1610.2033, 2352.5279, 1655.0070, 3415.1088, 1595.8287, 1629.0198, 1593.7520, 1623.8929
42.0560, 1711.1791, 4081.9432, 1820.0328, 4231.9541, 1706.5146, 5184.4288, 1610.8590, 2348.1934, 1655.7355, 3417.2834, 1597.3122, 1629.0644, 1593.6615, 1625.2678
43.0560, 1710.7084, 4080.9980, 1820.5125, 4192.7772, 1705.8148, 5189.1101, 1614.1148, 2347.5377, 1656.2874, 3414.7345, 1595.0914, 1628.3464, 1593.9439, 1625.9251
44.0560, 1711.6213, 4080.1654, 1818.7287, 4171.2634, 1705.8002, 5187.6589, 1609.7115, 2351.2721, 1656.0100, 3415.0539, 1596.3546, 1628.4879, 1595.5005, 1625.6066
45.0560, 1711.2456, 4082.3933, 1820.1560, 4093.8952, 1704.3509, 5184.8246, 1610.1836, 2346.1639, 1655.5120, 3418.8134, 1595.8965, 1627.7395, 1593.9401, 1625.9407
46.0560, 1711.1125, 4077.6213, 1820.2267, 4044.0472, 1704.2963, 5179.8382, 1610.5311, 2346.2197, 1655.1188, 3414.1218, 1597.4356, 1628.0677, 1593.6305, 1626.0143
47.0560, 1709.5519, 4082.0029, 1817.6448, 4069.6147, 1703.8363, 5183.5302, 1611.8525, 2346.0918, 1656.7116, 3414.1018, 1596.9218, 1627.6465, 1593.4938, 1624.7867
48.0560, 1711.1644, 4083.1301, 1822.2975, 4067.5256, 1703.5877, 5181.1287, 1610.2820, 2346.5508, 1655.3992, 3417.5309, 1595.6966, 1627.9185, 1593.5929, 1625.9366
49.0560, 1710.5900, 4079.0528, 1818.5596, 4099.9109, 1705.1442, 5171.4074, 1610.5607, 2346.0787, 1657.8114, 3418.6876, 1594.8789, 1628.1189, 1593.4931, 1625.5913
50.0560, 1712.1057, 4083.7965, 1821.3735, 4116.4246, 1702.8304, 5175.4376, 1610.1705, 2346.1410, 1655.9641, 3419.8014, 1595.6426, 1629.1773, 1592.9952, 1625.7625
51.0560, 1709.5460, 4086.8366, 1817.9148, 4150.3945, 1704.4532, 5180.2310, 1610.4623, 2344.5148, 1657.4531, 3423.6507, 1595.9659, 1628.0776, 1593.8473, 1625.4890
52.0560, 1710.0783, 4091.4305, 1819.0616, 4132.2608, 1703.8304, 5178.0663, 1612.0852, 2346.4852, 1656.5749, 3422.9840, 1595.1856, 1628.2792, 1593.5553, 1626.0711
53.0560, 1710.0685, 4097.3033, 1820.7759, 4062.6016, 1703.5497, 5169.6267, 1609.7705, 2350.8656, 1655.6078, 3418.2365, 1596.2137, 1627.8899, 1594.0995, 1624.9155
54.0560, 1710.3767, 4100.1184, 1819.0931, 4097.7051, 1703.6920, 5175.0546, 1611.5869, 2345.4295, 1656.0419, 3424.5100, 1595.5308, 1627.4235, 1593.6219, 1626.4517
55.0560, 1709.2329, 4113.1213, 1818.5609, 4129.5885, 1702.9376, 5168.3051, 1609.2164, 2343.1934, 1655.4571, 3422.9202, 1595.9086, 1627.6938, 1593.3564, 1625.7781
56.0560, 1709.9276, 4114.3708, 1819.6304, 4073.8126, 1704.4844, 5162.0867, 1611.3475, 2348.5738, 1656.5758, 3427.0060, 1597.0341, 1628.0732, 1593.5174, 1624.9139
57.0560, 1709.5861, 4121.7045, 1818.2739, 4066.8938, 1704.5458, 5160.2290, 1612.7902, 2342.6754, 1657.5958, 3423.4721, 1596.1894, 1627.4449, 1594.3602, 1625.6433
58.0560, 1709.1742, 4121.6556, 1818.5583, 4097.4456, 1704.3187, 5158.6852, 1609.8361, 2347.1246, 1656.2934, 3428.7086, 1597.0501, 1628.3844, 1593.4931, 1625.2404
59.0560, 1708.9403, 4128.9853, 1817.7090, 4073.9371, 1703.0828, 5163.0614, 1611.3016, 2347.4295, 1656.9611, 3425.4471, 1596.1261, 1627.5248, 1593.5139, 1625.0485
60.0560, 1708.8297, 4127.8307, 1821.7667, 4067.2294, 1704.2271, 5159.9474, 1610.2230, 2345.5705, 1655.9591, 3426.3772, 1595.4818, 1627.4989, 1593.6226, 1625.5308
61.0560, 1708.3376, 4139.6722, 1821.1743, 4067.4810, 1703.2086, 5155.1949, 1610.7148, 2348.0852, 1656.5918, 3423.6657, 1595.6344, 1627.8607, 1593.3825, 1625.2184
62.0560, 1709.2691, 4141.4530, 1820.1180, 4054.1796, 1702.7632, 5152.8255, 1611.3082, 2348.1082, 1655.4551, 3430.1188, 1595.3095, 1627.8221, 1594.1938, 1624.0832
63.0560, 1709.5460, 4132.8190, 1819.7837, 4052.6055, 1702.7446, 5151.6267, 1610.8525, 2351.0525, 1653.5788, 3427.0379, 1595.3601, 1627.5402, 1593.0615, 1625.1715
64.0560, 1710.1018, 4089.2153, 1821.6841, 4045.2163, 1703.6501, 5142.6852, 1609.2393, 2344.2852, 1656.4970, 3426.3623, 1596.5171, 1627.6476, 1593.5891, 1625.3519
65.0560, 1710.7789, 4076.0205, 1818.5623, 4085.7602, 1703.5244, 5143.3762, 1607.9639, 2344.6459, 1656.5968, 3430.3882, 1595.2109, 1628.2952, 1592.8852, 1624.6758
66.0560, 1709.0528, 4061.1076, 1812.7313, 4074.7536, 1701.6238, 5043.8470, 1608.9377, 2347.5541, 1657.2725, 3420.0778, 1597.6101, 1627.4747, 1593.4214, 1626.2563
67.0560, 1705.8434, 4056.7065, 1813.4456, 4088.2084, 1700.2368, 5012.5039, 1609.4623, 2343.4098, 1654.5030, 3420.4251, 1596.3453, 1628.4780, 1594.0494, 1625.5234
68.0560, 1709.7299, 4004.7319, 1811.1298, 4108.1193, 1699.9844, 4994.6267, 1612.5934, 2340.1541, 1655.7605, 3421.5469, 1596.3111, 1629.3040, 1594.0217, 1625.9334
69.0560, 1710.3082, 3947.9609, 1810.7012, 4128.6409, 1698.9220, 4969.1579, 1608.6262, 2336.6164, 1655.6387, 3420.7126, 1595.9774, 1629.3051, 1594.4546, 1626.0147
70.0560, 1713.1135, 3860.2661, 1809.7038, 4155.6474, 1699.4708, 4972.5750, 1611.1213, 2337.4492, 1656.3184, 3418.0749, 1596.7649, 1628.1652, 1594.5333, 1625.7297
71.0560, 1712.9755, 3777.8063, 1809.9843, 4175.7235, 1699.1949, 4967.7368, 1611.7443, 2341.2459, 1656.2615, 3419.7405, 1596.2384, 1627.8486, 1594.3876, 1625.9751
72.0560, 1714.6683, 3695.7407, 1805.5950, 4194.5216, 1697.5926, 4954.0000, 1609.7672, 2337.0328, 1654.9142, 3416.1397, 1596.5468, 1628.5022, 1592.6968, 1625.6379
73.0560, 1716.0294, 3666.7965, 1808.8781, 4213.5570, 1697.9747, 4948.4327, 1610.2525, 2339.7574, 1655.2934, 3420.1327, 1595.9570, 1628.5017, 1594.7902, 1624.9547
74.0560, 1715.6986, 3641.1683, 1807.0773, 4234.0695, 1699.1598, 4945.5634, 1610.0361, 2333.0787, 1655.6028, 3414.6527, 1595.7627, 1628.5859, 1593.6235, 1625.9047
75.0560, 1715.6458, 3620.0245, 1804.9266, 4255.2123, 1697.3811, 4936.5185, 1609.4721, 2335.0262, 1653.6277, 3420.0868, 1596.4257, 1627.3794, 1594.1776, 1625.3701
76.0560, 1715.7769, 3591.0372, 1805.7654, 4267.1547, 1697.1852, 4925.1014, 1610.2426, 2340.2230, 1656.2265, 3418.7954, 1596.5407, 1627.3959, 1593.5712, 1625.3529
77.0560, 1717.2838, 3525.8004, 1804.5072, 4234.7811, 1696.9269, 4921.1306, 1610.8787, 2332.3443, 1655.9341, 3417.8852, 1596.0281, 1628.2599, 1593.0469, 1626.4731
78.0560, 1718.2955, 3510.4256, 1802.7654, 4250.5623, 1696.8977, 4911.0595, 1612.7213, 2331.8426, 1654.3353, 3418.0220, 1596.2043, 1629.4097, 1594.1272, 1624.5617
79.0560, 1718.7789, 3455.2231, 1803.2503, 4267.9882, 1696.3090, 4910.1715, 1608.9705, 2331.6951, 1655.2186, 3422.0818, 1596.0391, 1627.5149, 1593.5120, 1625.5049
80.0560, 1718.7740, 3402.1928, 1802.6763, 4287.5282, 1695.6764, 4899.3889, 1609.4787, 2333.3311, 1653.6347, 3417.9072, 1595.7445, 1628.3733, 1593.1358, 1625.0070
81.0560, 1720.2368, 3396.5881, 1803.5059, 4296.6671, 1696.1628, 4899.1131, 1610.1607, 2329.6656, 1655.1387, 3417.7066, 1596.1046, 1628.5771, 1593.6057, 1625.9965
82.0560, 1721.0900, 3391.0646, 1802.2726, 4318.6016, 1695.5010, 4889.6520, 1611.2230, 2333.7180, 1654.2076, 3416.5240, 1595.1845, 1627.4686, 1593.7434, 1625.2904
83.0560, 1721.4755, 3302.8014, 1800.7366, 4326.7588, 1695.8372, 4882.8791, 1610.9934, 2338.1475, 1655.2685, 3414.2465, 1597.0121, 1627.3662, 1592.9806, 1625.3124
84.0560, 1720.8806, 3298.5538, 1798.7759, 4348.3041, 1694.9405, 4875.8353, 1606.8689, 2332.6164, 1654.5729, 3416.6647, 1595.9939, 1627.5666, 1593.7459, 1625.6382
85.0560, 1721.8190, 3295.1644, 1799.1664, 4359.8820, 1695.3694, 4870.1433, 1609.6164, 2331.0885, 1654.4591, 3420.1956, 1596.4989, 1627.4400, 1593.9716, 1626.0478
86.0560, 1720.3904, 3328.7691, 1798.7418, 4369.6763, 1694.2310, 4866.5458, 1610.2885, 2333.4098, 1655.2914, 3417.0649, 1597.5171, 1628.8243, 1593.3360, 1625.7182
87.0560, 1719.9667, 3264.4697, 1798.9528, 4376.1507, 1695.5487, 4859.6209, 1609.4295, 2331.7902, 1654.2315, 3416.8393, 1595.5887, 1627.4857, 1594.8505, 1625.9107
88.0560, 1723.3239, 3256.6272, 1799.5675, 4400.3670, 1693.6491, 4859.6637, 1609.9967, 2329.7410, 1655.3313, 3419.6667, 1596.4466, 1627.4493, 1594.1964, 1625.9082
89.0560, 1719.9618, 3299.9452, 1797.9017, 4412.9463, 1695.1774, 4854.3129, 1607.5377, 2331.0557, 1655.0130, 3416.2814, 1595.9835, 1627.6509, 1593.3462, 1625.9477
90.0560, 1720.2358, 3333.6497, 1799.5649, 4425.1245, 1693.3343, 4844.5097, 1609.6393, 2331.3475, 1654.4671, 3416.8303, 1595.4570, 1628.9664, 1593.8135, 1626.6197
91.0560, 1719.7025, 3371.0479, 1797.8991, 4440.2215, 1693.7339, 4836.4610, 1609.2426, 2328.4262, 1654.5519, 3417.2016, 1596.1211, 1628.5110, 1594.5330, 1626.2289
92.0560, 1720.4863, 3364.5352, 1797.5491, 4450.4718, 1693.3294, 4828.1949, 1609.1279, 2331.9934, 1655.7635, 3420.6277, 1596.9185, 1628.5953, 1593.6270, 1625.6165
93.0560, 1719.1448, 3396.7828, 1795.8100, 4456.5046, 1694.2632, 4826.5604, 1611.8492, 2333.6492, 1656.0768, 3416.7445, 1597.2665, 1629.0193, 1592.7144, 1625.7998
94.0560, 1718.2838, 3432.3229, 1796.8938, 4464.6697, 1693.0828, 4820.3080, 1609.7475, 2334.1311, 1653.5030, 3417.8194, 1596.4361, 1629.3012, 1593.1766, 1626.6452
95.0560, 1716.9961, 3464.8532, 1795.9515, 4473.9161, 1691.9951, 4812.5487, 1610.3902, 2328.1279, 1653.2615, 3418.1248, 1596.1151, 1628.5809, 1593.2716, 1624.9659
96.0560, 1718.0822, 3492.0626, 1796.3460, 4485.3329, 1691.8821, 4801.0331, 1611.2852, 2326.6885, 1654.4002, 3419.1297, 1597.2720, 1628.6938, 1593.1967, 1625.4300
97.0560, 1716.2867, 3513.8454, 1793.6488, 4499.1612, 1692.7407, 4793.0595, 1610.4656, 2327.4754, 1655.3194, 3419.7974, 1596.5920, 1628.0677, 1593.0386, 1625.9056
98.0560, 1716.6663, 3546.7143, 1795.7877, 4514.8336, 1691.9094, 4781.4425, 1610.1049, 2329.4295, 1654.2076, 3414.0549, 1596.7737, 1627.1421, 1594.6586, 1625.8827
99.0560, 1715.8855, 3570.0108, 1796.0288, 4510.4718, 1692.4162, 4773.8275, 1610.3738, 2326.4459, 1654.4451, 3417.5000, 1594.8320, 1628.0165, 1593.5910, 1625.4520
100.0560, 1714.6487, 3592.6096, 1795.3290, 4526.0944, 1692.1053, 4766.0809, 1610.0361, 2327.8984, 1655.5908, 3419.9341, 1596.5518, 1628.5424, 1593.3255, 1625.5126
101.0560, 1714.7045, 3611.5274, 1792.7431, 4539.8716, 1691.8635, 4759.3869, 1609.6492, 2326.7311, 1654.1008, 3422.3842, 1596.0457, 1627.9152, 1593.5024, 1626.2675
102.0560, 1713.0029, 3637.1751, 1795.0944, 4550.9174, 1691.4990, 4757.5146, 1608.7082, 2322.4066, 1654.1088, 3417.3333, 1596.1145, 1629.1790, 1592.7702, 1625.7867
103.0560, 1712.6037, 3660.6106, 1793.6356, 4561.3735, 1690.6150, 4748.0390, 1609.5279, 2326.1607, 1653.5180, 3417.6218, 1596.5446, 1628.2830, 1593.1635, 1627.0118
104.0560, 1711.9129, 3681.1634, 1791.2464, 4570.9738, 1691.7310, 4735.8674, 1610.6984, 2325.0098, 1652.5619, 3418.0868, 1596.1079, 1627.5231, 1594.5320, 1626.1871
105.0560, 1711.4873, 3698.4295, 1793.9567, 4578.6173, 1690.0663, 4730.8733, 1609.6820, 2330.4000, 1653.0250, 3417.1168, 1594.5738, 1626.5975, 1594.1725, 1626.3956
106.0560, 1713.4922, 3715.8170, 1792.5111, 4581.4417, 1693.1072, 4725.1842, 1610.1967, 2327.8033, 1656.7126, 3421.1816, 1596.3309, 1627.6448, 1593.9225, 1625.7102
107.0560, 1711.8160, 3732.1585, 1790.5714, 4583.2582, 1691.0117, 4718.5673, 1609.8754, 2329.1770, 1654.6188, 3420.2705, 1595.8150, 1628.3282, 1593.5897, 1625.7813
108.0560, 1709.7798, 3752.7759, 1791.1284, 4592.4993, 1689.6287, 4705.6764, 1608.8426, 2324.9475, 1653.3663, 3417.8343, 1597.3888, 1627.4025, 1594.3459, 1626.4747
109.0560, 1711.0088, 3766.5920, 1791.5308, 4597.3906, 1689.0975, 4698.8470, 1611.3574, 2329.6295, 1653.9212, 3417.6228, 1595.3497, 1627.1988, 1594.2891, 1625.9213
110.0560, 1710.3836, 3784.6928, 1791.9201, 4607.7602, 1691.4454, 4688.6287, 1610.8295, 2325.3934, 1655.4232, 3417.3713, 1596.1459, 1628.3062, 1594.2394, 1625.3341
111.0560, 1710.4736, 3793.9511, 1789.8126, 4615.4771, 1690.3499, 4684.6667, 1608.3705, 2328.0787, 1655.5369, 3420.3912, 1596.4950, 1628.8987, 1594.6678, 1625.6784
112.0560, 1711.1575, 3821.0665, 1791.1009, 4631.8965, 1690.8441, 4683.4386, 1609.9836, 2333.3082, 1654.0399, 3423.2495, 1597.1889, 1628.4593, 1594.1623, 1626.3950
113.0560, 1710.0254, 3832.5372, 1790.9777, 4642.2490, 1688.3957, 4678.8392, 1608.4951, 2331.4787, 1654.5240, 3428.6457, 1596.1206, 1628.0887, 1593.4772, 1626.8699
114.0560, 1710.1918, 3842.4550, 1791.1206, 4639.7746, 1689.4084, 4672.0010, 1609.3639, 2333.8852, 1653.1018, 3430.0788, 1596.4301, 1627.6509, 1593.4549, 1625.3564
115.0560, 1709.8894, 3854.1781, 1791.9318, 4657.4443, 1688.1589, 4660.7602, 1611.5180, 2327.2426, 1653.2156, 3427.8772, 1594.5396, 1627.7660, 1593.1371, 1625.9455
116.0560, 1709.3249, 3862.2769, 1788.8965, 4659.5832, 1688.5702, 4658.8577, 1608.4590, 2330.4361, 1653.2345, 3428.7565, 1595.2406, 1627.6591, 1593.6242, 1625.5658
117.0560, 1709.5499, 3875.6634, 1789.3447, 4668.4600, 1689.3148, 4648.8265, 1609.6918, 2326.5180, 1655.0070, 3430.5090, 1595.2704, 1628.5765, 1593.7676, 1625.6819
118.0560, 1710.2348, 3890.4403, 1789.9227, 4659.7169, 1689.1940, 4648.6959, 1611.9803, 2333.2689, 1654.3024, 3430.8752, 1596.5633, 1627.8287, 1593.3433, 1626.1498
119.0560, 1709.1751, 3903.1477, 1788.8375, 4669.2385, 1689.6715, 4643.5906, 1609.7279, 2329.1541, 1655.6976, 3434.2026, 1595.4526, 1628.6239, 1593.0223, 1625.7804
120.0560, 1709.2867, 3911.9530, 1787.1284, 4672.3381, 1688.4805, 4630.5302, 1610.2885, 2327.1869, 1654.1537, 3432.3004, 1596.2638, 1627.8965, 1593.8938, 1625.8734
121.0560, 1709.7016, 3922.7162, 1789.3211, 4678.1756, 1688.1218, 4627.2710, 1609.0754, 2330.6098, 1654.9232, 3431.1347, 1597.0765, 1628.1889, 1593.1383, 1625.9531
122.0560, 1708.5841, 3930.5098, 1788.4495, 4680.4207, 1688.3470, 4638.3294, 1610.2885, 2331.6787, 1655.0749, 3432.9132, 1595.5661, 1628.3739, 1593.6047, 1626.7590
