"File: DDELog(Excel:M3_19_7	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M3_DRG_19_7\S+TM3.LOG"
"Date: Tue Jul 19 2022 11:44:43.829"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
136.0420
187.5460
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (101, 182), Size: (36, 39), Area: 1088]"
"Region 2: [Location: (358, 238), Size: (53, 37), Area: 1501]"
"Region 3: [Location: (302, 415), Size: (33, 38), Area: 966]"
"Region 4: [Location: (160, 416), Size: (46, 46), Area: 1642]"
"Region 5: [Location: (261, 60), Size: (42, 48), Area: 1540]"
"Region 6: [Location: (245, 219), Size: (40, 43), Area: 1334]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
30.3840, 1767.3088, 5790.9568, 1776.5976, 6531.8714, 1813.1584, 7898.6356, 1800.2144, 3947.5725, 1609.5117, 1654.8721, 1608.1777, 1659.1657
31.3840, 1766.2518, 5789.5478, 1774.8541, 6530.7342, 1814.0818, 7900.2805, 1800.9921, 3939.8599, 1607.3766, 1654.2448, 1607.6732, 1658.2564
32.3840, 1766.2831, 5783.6581, 1774.5363, 6524.1925, 1812.5248, 7892.0818, 1800.8197, 3946.9689, 1609.3708, 1654.4058, 1606.6994, 1657.1949
33.3840, 1766.5404, 5787.4825, 1774.9214, 6521.3071, 1813.6915, 7899.0839, 1800.7387, 3948.6565, 1608.8558, 1655.1734, 1607.6957, 1658.5345
34.3840, 1766.7739, 5775.4449, 1775.1312, 6519.1492, 1812.9524, 7885.8934, 1800.5530, 3956.4019, 1608.8623, 1654.8792, 1607.9250, 1657.0090
35.3840, 1769.8722, 5783.1075, 1774.1113, 6515.7395, 1811.9638, 7885.8199, 1800.4750, 3955.2259, 1608.3753, 1655.4526, 1609.0547, 1657.3576
36.3840, 1766.5634, 5776.1737, 1775.2778, 6502.0000, 1811.0435, 7881.0466, 1798.7844, 3966.6273, 1608.6883, 1654.4682, 1608.0922, 1658.3756
37.3840, 1767.8180, 5769.2399, 1774.2871, 6497.6349, 1813.9741, 7874.2288, 1800.7004, 3963.9172, 1609.0188, 1655.5188, 1608.8463, 1658.0532
38.3840, 1767.3244, 5767.6792, 1774.8494, 6491.4664, 1813.3799, 7879.9938, 1800.4714, 3973.9574, 1607.5545, 1653.4182, 1608.7796, 1658.7121
39.3840, 1765.9265, 5767.8869, 1775.0680, 6486.3451, 1812.2443, 7872.7381, 1798.6145, 3985.4129, 1608.2948, 1653.8143, 1608.1162, 1658.4175
40.3840, 1767.5726, 5766.2564, 1773.6163, 6470.7488, 1813.9141, 7873.9296, 1798.4513, 4001.0213, 1608.4442, 1655.0474, 1606.3778, 1656.8313
41.3840, 1767.3217, 5761.0202, 1773.5383, 6452.6762, 1813.9027, 7870.8075, 1798.5981, 4009.7649, 1608.5812, 1654.5961, 1608.5000, 1658.5622
42.3840, 1766.7261, 5763.9632, 1773.9520, 6446.9987, 1812.3696, 7866.1128, 1799.4220, 4011.7052, 1608.9162, 1653.8825, 1607.6334, 1657.8216
43.3840, 1766.8070, 5763.8217, 1772.4191, 6445.4124, 1813.5093, 7866.1108, 1799.2698, 4018.1486, 1608.9455, 1655.4253, 1607.2706, 1658.2796
44.3840, 1765.8952, 5761.8750, 1772.7808, 6436.8235, 1812.5166, 7865.1325, 1798.9531, 4020.7515, 1608.4377, 1655.4429, 1608.7316, 1659.3988
45.3840, 1767.5588, 5764.9173, 1773.5383, 6438.3951, 1812.4689, 7863.1056, 1799.2972, 4027.2503, 1609.7357, 1655.4552, 1608.0922, 1658.5037
46.3840, 1766.7610, 5763.5533, 1771.2951, 6433.2778, 1812.3934, 7861.0611, 1798.3465, 4020.4537, 1608.9299, 1655.9117, 1607.8801, 1659.8426
47.3840, 1767.9715, 5754.7050, 1773.1772, 6429.0806, 1813.8696, 7859.8106, 1798.8892, 4000.9050, 1609.7468, 1654.8922, 1609.1117, 1659.8366
48.3840, 1765.9522, 5751.7665, 1773.2145, 6419.7435, 1812.3872, 7853.5197, 1798.8477, 4003.9281, 1609.3292, 1655.0584, 1607.8336, 1657.9498
49.3840, 1767.3805, 5757.6369, 1772.3777, 6410.2398, 1814.8872, 7855.4493, 1798.8551, 4018.7485, 1609.4266, 1656.0468, 1608.2129, 1659.4648
50.3840, 1766.1967, 5755.5597, 1770.9853, 6407.7209, 1813.6356, 7844.6801, 1798.0049, 4022.2150, 1608.6071, 1654.6104, 1607.2384, 1656.7256
51.3840, 1766.3621, 5758.9816, 1770.8854, 6400.1932, 1815.4824, 7841.5663, 1799.3185, 4027.7868, 1609.5857, 1655.3916, 1608.5045, 1655.9565
52.3840, 1766.5322, 5760.8097, 1772.3218, 6388.4464, 1811.6470, 7848.6594, 1797.5548, 4027.5731, 1609.5597, 1656.2604, 1607.9250, 1659.0915
53.3840, 1765.8952, 5750.6121, 1771.4504, 6383.6882, 1812.4172, 7836.4244, 1797.9562, 4024.0505, 1607.9753, 1655.7844, 1606.6132, 1656.8666
54.3840, 1763.9375, 5755.6415, 1770.2458, 6374.3171, 1812.9296, 7849.1460, 1799.4428, 4016.4610, 1608.5357, 1655.6344, 1607.3673, 1658.2841
55.3840, 1765.6581, 5753.1232, 1771.3191, 6355.8668, 1813.1501, 7839.9161, 1799.1230, 3994.9050, 1607.7097, 1654.8578, 1607.8418, 1657.5150
56.3840, 1767.5340, 5756.6682, 1771.6389, 6344.0620, 1814.9306, 7845.1925, 1799.8380, 3993.3837, 1609.2260, 1655.1955, 1608.2789, 1658.5690
57.3840, 1766.1186, 5758.6250, 1772.3671, 6325.8274, 1812.4472, 7850.1646, 1799.8551, 4003.0177, 1609.4740, 1655.9610, 1608.1192, 1658.8216
58.3840, 1766.5450, 5763.0625, 1773.2412, 6323.9207, 1814.2629, 7857.3571, 1798.4537, 4003.1017, 1609.3130, 1654.9266, 1607.8996, 1658.8553
59.3840, 1766.4807, 5764.2960, 1770.9687, 6317.7322, 1811.7816, 7861.2143, 1798.8270, 3998.7448, 1609.1494, 1656.4688, 1607.3291, 1657.6192
60.3840, 1766.3851, 5769.4752, 1771.7395, 6322.7535, 1811.8799, 7858.2174, 1798.7400, 3990.5542, 1608.5188, 1654.5857, 1606.8546, 1658.1702
61.3840, 1766.8244, 5774.4072, 1772.1412, 6318.4404, 1810.9255, 7872.9317, 1798.2387, 3987.5378, 1607.8630, 1654.6032, 1607.9325, 1656.4363
62.3840, 1767.1480, 5768.3952, 1772.2425, 6307.0973, 1811.7091, 7868.8634, 1799.0767, 3975.5633, 1609.9130, 1654.5649, 1607.0367, 1660.0735
63.3840, 1766.6250, 5769.9200, 1771.7895, 6290.9354, 1813.1180, 7868.4814, 1799.1303, 3962.8234, 1608.2682, 1654.4545, 1608.1379, 1658.4783
64.3840, 1765.9136, 5772.1314, 1770.7881, 6282.8141, 1815.4141, 7873.1874, 1799.9135, 3957.2065, 1609.2786, 1656.0247, 1606.3268, 1658.3913
65.3840, 1767.3153, 5753.3033, 1767.3111, 6037.5863, 1812.8323, 7853.1698, 1801.3246, 3938.5371, 1609.1084, 1655.4078, 1607.2991, 1657.8801
66.3840, 1764.7693, 5747.6581, 1765.1845, 5973.3951, 1813.2122, 7849.8209, 1801.9689, 3932.7801, 1608.6545, 1655.8201, 1606.8576, 1657.3606
67.3840, 1765.2886, 5749.2013, 1766.6989, 5929.5663, 1813.3261, 7847.2681, 1800.0871, 3938.5554, 1608.1760, 1654.8305, 1607.6814, 1657.2571
68.3840, 1767.1388, 5736.6801, 1765.4617, 5884.0613, 1812.5414, 7842.6822, 1799.9166, 3937.6456, 1608.2123, 1654.1766, 1607.4093, 1659.8156
69.3840, 1763.7077, 5732.6048, 1763.3937, 5850.3824, 1813.2391, 7839.4244, 1799.9610, 3942.5079, 1609.3734, 1655.6416, 1607.4903, 1656.8951
70.3840, 1767.7610, 5733.4798, 1761.6382, 5815.0440, 1811.8385, 7842.6946, 1799.0463, 3941.8112, 1608.1065, 1654.8818, 1606.9603, 1658.8126
71.3840, 1764.2803, 5731.1498, 1763.2139, 5783.2092, 1812.4358, 7834.2567, 1800.1431, 3957.1894, 1608.2948, 1654.3870, 1607.9768, 1657.5997
72.3840, 1765.0662, 5729.9191, 1763.2991, 5765.7535, 1812.7930, 7828.5673, 1799.5920, 3963.1297, 1608.3753, 1655.8656, 1607.7549, 1657.9768
73.3840, 1766.2803, 5736.5046, 1761.5716, 5760.4364, 1811.3727, 7829.5124, 1799.5317, 3963.3173, 1608.4935, 1653.9253, 1607.4445, 1659.0180
74.3840, 1766.5983, 5729.1415, 1762.5416, 5731.7328, 1811.8313, 7824.9689, 1799.2217, 3972.6407, 1608.4968, 1654.9344, 1607.8013, 1657.3763
75.3840, 1765.5028, 5724.5064, 1760.4324, 5711.0626, 1813.9979, 7821.4524, 1800.4324, 3976.7052, 1608.8753, 1654.4149, 1607.8426, 1657.9498
76.3840, 1764.3732, 5725.1489, 1761.3198, 5686.2378, 1811.7164, 7824.4586, 1799.0658, 3988.8222, 1608.8890, 1653.0169, 1608.5652, 1657.7871
77.3840, 1764.4917, 5721.2877, 1760.6589, 5659.6895, 1814.2174, 7804.8375, 1799.8295, 3989.6084, 1608.0325, 1655.6357, 1607.1994, 1657.7924
78.3840, 1764.1700, 5718.6645, 1761.8794, 5638.3131, 1811.8592, 7802.8478, 1798.0469, 3996.9616, 1609.2701, 1655.2786, 1607.7834, 1658.1589
79.3840, 1762.9347, 5715.9550, 1760.7635, 5628.0227, 1811.6346, 7802.3551, 1799.1888, 3993.5688, 1609.1825, 1653.3929, 1608.0742, 1658.8493
80.3840, 1764.0028, 5708.4678, 1760.4424, 5603.6869, 1813.5062, 7796.2101, 1800.5944, 3992.5999, 1608.2883, 1654.9909, 1607.7864, 1657.8343
81.3840, 1764.7858, 5706.6903, 1760.4650, 5578.8441, 1812.3002, 7788.6284, 1798.7808, 3992.4537, 1609.0331, 1654.5851, 1607.2601, 1659.1942
82.3840, 1764.4081, 5708.5634, 1760.8894, 5552.8887, 1814.7909, 7782.7029, 1799.7674, 3987.4671, 1609.4013, 1655.7526, 1607.8201, 1657.4363
