"File: DDELog(Excel:M12	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M12_DRG_20_7\M12.LOG"
"Date: Wed Jul 20 2022 10:44:27.576"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Time (sec)"
3.4880
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (291, 74), Size: (60, 51), Area: 2362]"
"Region 2: [Location: (198, 178), Size: (24, 21), Area: 396]"
"Region 3: [Location: (155, 213), Size: (33, 31), Area: 791]"
"Region 4: [Location: (87, 214), Size: (65, 56), Area: 2828]"
"Region 5: [Location: (82, 266), Size: (63, 56), Area: 2730]"
"Region 6: [Location: (262, 369), Size: (77, 80), Area: 4760]"
"Region 7: [Location: (340, 425), Size: (30, 40), Area: 940]"
"Region 8: [Location: (93, 477), Size: (53, 34), Area: 1378]"
"Region 9: [Location: (85, 79), Size: (38, 34), Area: 992]"
"Region 10: [Location: (46, 136), Size: (58, 52), Area: 2328]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
16.6010, 1732.6092, 6195.2333, 1637.2197, 3056.6944, 1663.6966, 3824.8976, 1785.1100, 6364.1436, 1750.7293, 4535.7451, 1737.0912, 6638.5924, 1676.8809, 4240.9734, 1705.0646, 4778.0675, 1592.8367, 1621.7550, 1591.7487, 1634.2186
17.6010, 1733.9983, 6203.7422, 1634.7551, 3049.8889, 1664.0594, 3823.2541, 1783.8158, 6363.1556, 1750.5469, 4543.1187, 1737.8649, 6634.9735, 1676.9404, 4249.7117, 1705.0196, 4777.6778, 1591.8901, 1622.8690, 1591.4356, 1634.8759
18.6010, 1733.3870, 6195.6901, 1633.0808, 3052.1086, 1663.3831, 3819.9583, 1784.2369, 6360.8416, 1750.0264, 4543.6436, 1737.2460, 6630.2210, 1677.7447, 4243.7777, 1704.6938, 4775.3665, 1590.8750, 1622.5887, 1592.3578, 1635.4953
19.6010, 1732.3417, 6191.3290, 1634.4091, 3049.2652, 1663.8053, 3822.5967, 1783.5827, 6360.3865, 1749.2352, 4543.6099, 1736.3557, 6629.2889, 1676.6181, 4248.5787, 1705.6009, 4770.9071, 1590.6794, 1621.7480, 1590.4459, 1634.2620
20.6010, 1732.8010, 6198.1689, 1633.6641, 3055.2096, 1663.4412, 3814.4893, 1785.1407, 6358.9586, 1749.4366, 4543.8879, 1735.9485, 6627.2796, 1676.7649, 4240.3851, 1706.3505, 4766.2308, 1592.0030, 1622.8528, 1591.8509, 1636.3046
21.6010, 1733.9594, 6197.8307, 1635.3308, 3049.1515, 1664.8609, 3813.6258, 1783.9809, 6354.9402, 1750.3810, 4537.9579, 1736.2023, 6621.8916, 1677.3447, 4241.1755, 1704.7721, 4763.1430, 1592.6452, 1622.0645, 1592.0120, 1634.9583
22.6010, 1733.0055, 6199.5347, 1634.6692, 3050.8687, 1665.7307, 3818.2984, 1784.3777, 6354.7624, 1749.2440, 4541.2132, 1736.3189, 6624.3221, 1676.0277, 4238.3628, 1704.8882, 4767.6386, 1592.3478, 1621.9415, 1591.9601, 1635.6177
23.6010, 1732.4992, 6194.0821, 1635.4646, 3048.4394, 1665.1669, 3810.6473, 1784.1747, 6349.6966, 1750.6758, 4538.4626, 1737.2158, 6618.6578, 1676.9894, 4240.4223, 1705.8498, 4762.0798, 1591.7339, 1623.0625, 1591.3759, 1634.5009
24.6010, 1732.4496, 6192.8785, 1634.1540, 3055.4394, 1663.3401, 3810.2149, 1783.7267, 6351.2143, 1750.8502, 4540.6821, 1735.7038, 6616.3269, 1676.2840, 4231.6106, 1704.2402, 4761.8672, 1592.4153, 1622.5746, 1592.0627, 1635.5928
25.6010, 1732.3268, 6191.4835, 1633.5429, 3050.8384, 1664.6397, 3807.6157, 1783.4735, 6346.2306, 1751.1234, 4537.8766, 1736.3162, 6612.1416, 1677.8117, 4231.0830, 1703.8491, 4751.1800, 1591.2944, 1622.7752, 1591.0378, 1635.6731
