"File: DDELog(Excel:M9	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M9_DRG_19_7\M9_S+T.LOG"
"Date: Tue Jul 19 2022 15:58:19.17"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
67.0910
101.8030
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (294, 113), Size: (26, 25), Area: 506]"
"Region 2: [Location: (297, 135), Size: (25, 24), Area: 468]"
"Region 3: [Location: (350, 282), Size: (29, 31), Area: 695]"
"Region 4: [Location: (278, 266), Size: (39, 38), Area: 1150]"
"Region 5: [Location: (258, 289), Size: (23, 26), Area: 458]"
"Region 6: [Location: (122, 351), Size: (37, 35), Area: 991]"
"Region 7: [Location: (131, 404), Size: (40, 42), Area: 1300]"
"Region 8: [Location: (0, 472), Size: (24, 28), Area: 520]"
"Region 9: [Location: (84, 99), Size: (38, 36), Area: 1056]"
"Region 10: [Location: (26, 222), Size: (45, 47), Area: 1637]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
32.8960, 1649.7075, 2908.5395, 1661.1410, 2847.1667, 1700.0820, 3415.6950, 1740.5043, 2612.9391, 1659.9913, 3032.0764, 1701.9102, 3376.7841, 1689.2269, 4096.4669, 1662.2404, 3489.1596, 1604.2813, 1640.8617, 1603.1936, 1635.0464
33.8960, 1649.5316, 2909.0889, 1662.2094, 2850.2073, 1699.5727, 3413.8360, 1741.7078, 2615.5443, 1659.5022, 3034.7598, 1702.9627, 3378.2926, 1688.5015, 4098.3508, 1659.1231, 3486.1731, 1604.0805, 1640.3674, 1602.0257, 1634.6084
34.8960, 1648.2490, 2908.5079, 1663.7201, 2842.9979, 1699.2374, 3416.4878, 1741.4504, 2617.3461, 1661.7620, 3035.3122, 1701.4591, 3387.7619, 1689.1023, 4101.3646, 1658.3308, 3491.4077, 1605.7064, 1639.4413, 1603.6469, 1633.5046
35.8960, 1648.4387, 2914.3913, 1661.0897, 2839.2308, 1699.0777, 3412.6058, 1741.4104, 2617.9896, 1658.2969, 3031.9345, 1702.9445, 3380.4460, 1687.5038, 4099.7977, 1660.0115, 3486.4442, 1604.8561, 1640.2557, 1603.9041, 1634.2065
36.8960, 1649.0593, 2910.7036, 1661.7927, 2833.2842, 1700.5439, 3408.3410, 1741.1609, 2618.2200, 1661.9148, 3034.1310, 1702.0928, 3382.8517, 1688.9438, 4100.5300, 1658.4327, 3489.5942, 1604.9801, 1639.7396, 1603.6335, 1634.6805
37.8960, 1650.2549, 2914.5929, 1661.7244, 2825.4679, 1699.7971, 3413.1094, 1742.2209, 2617.6643, 1659.6048, 3034.4236, 1702.4026, 3388.6216, 1689.6577, 4100.6862, 1657.8673, 3485.6442, 1604.9564, 1641.8400, 1604.0519, 1632.9640
38.8960, 1649.0336, 2909.8024, 1664.3889, 2825.6603, 1699.6129, 3402.8475, 1741.6330, 2615.1539, 1660.3319, 3027.9323, 1703.9173, 3388.7578, 1687.6031, 4098.8754, 1660.6404, 3488.8308, 1606.9631, 1640.5492, 1603.8870, 1634.7166
39.8960, 1648.9743, 2906.6917, 1660.0641, 2824.8333, 1699.4993, 3406.1180, 1742.5678, 2615.8217, 1661.3100, 3029.0087, 1701.4723, 3397.4450, 1687.7008, 4101.4400, 1659.1385, 3492.7000, 1605.3087, 1639.1894, 1602.7508, 1634.6817
40.8960, 1648.4407, 2902.7115, 1662.0705, 2818.2393, 1697.4849, 3411.7122, 1740.8583, 2612.6009, 1657.9978, 3022.5284, 1701.5197, 3404.1927, 1688.7223, 4100.4331, 1658.6269, 3486.1115, 1604.0672, 1640.0521, 1604.5461, 1635.7300
41.8960, 1647.2648, 2904.7846, 1660.7350, 2822.8718, 1701.8043, 3408.7640, 1740.3270, 2610.6148, 1660.4563, 3029.4869, 1701.5086, 3407.5318, 1687.6623, 4102.7208, 1659.2731, 3490.6365, 1604.2576, 1640.9044, 1603.5449, 1636.1607
