"File: DDELog(Excel:M13	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M13_DRG_20_7\M13.LOG"
"Date: Wed Jul 20 2022 11:3:11.233"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
54.8040
114.1950
157.8030
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (104, 68), Size: (74, 57), Area: 3256]"
"Region 2: [Location: (314, 125), Size: (33, 34), Area: 858]"
"Region 3: [Location: (252, 174), Size: (29, 33), Area: 737]"
"Region 4: [Location: (283, 230), Size: (42, 36), Area: 1164]"
"Region 5: [Location: (60, 156), Size: (30, 25), Area: 582]"
"Region 6: [Location: (38, 375), Size: (39, 41), Area: 1239]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
44.8620, 1705.0513, 4988.2973, 1662.1538, 3502.0804, 1651.4790, 2991.8440, 1644.6881, 2807.1813, 1588.1976, 1617.7629, 1587.7409, 1616.2373
45.8620, 1704.4432, 4987.2260, 1662.4371, 3502.6527, 1650.8412, 2992.1818, 1644.9132, 2810.2354, 1588.0189, 1619.0120, 1586.7595, 1615.8168
46.8620, 1704.5516, 4988.0362, 1662.4510, 3503.4627, 1650.5441, 2991.6350, 1644.4880, 2810.3282, 1586.6306, 1618.5859, 1587.3503, 1616.4124
47.8620, 1703.8176, 4990.5931, 1662.0012, 3503.0315, 1651.2524, 2999.0760, 1644.6357, 2812.3625, 1587.7096, 1619.0515, 1586.8410, 1615.9685
48.8620, 1704.3870, 4988.0384, 1662.9254, 3503.9907, 1650.0936, 2995.3908, 1643.4768, 2812.5584, 1587.7302, 1619.4691, 1588.1146, 1615.5408
49.8620, 1703.3492, 4989.2353, 1661.3007, 3505.1725, 1649.7001, 3006.1411, 1643.4536, 2815.1125, 1587.1546, 1619.8471, 1586.7232, 1616.8967
50.8620, 1704.8034, 4986.5660, 1662.9441, 3501.6620, 1651.0122, 2998.2497, 1644.1615, 2817.2603, 1586.7887, 1618.8746, 1587.5529, 1615.8951
51.8620, 1704.8738, 4983.6953, 1661.7366, 3501.1445, 1650.6269, 2997.0190, 1645.3419, 2812.5885, 1587.2680, 1618.6100, 1586.0662, 1615.4003
52.8620, 1703.7752, 4982.1106, 1662.1434, 3504.1270, 1649.7639, 2996.4573, 1643.5988, 2812.6942, 1586.1512, 1618.5893, 1586.7942, 1616.9871
53.8620, 1704.3600, 4981.8612, 1662.1527, 3503.6352, 1649.3202, 3001.7028, 1645.6813, 2813.5215, 1586.4003, 1618.7251, 1587.4512, 1617.0743
54.8620, 1704.6883, 4979.2601, 1663.7937, 3503.9033, 1651.6174, 2994.7910, 1645.0498, 2814.9089, 1586.3522, 1619.5911, 1586.4189, 1616.5924
55.8620, 1703.7245, 4979.2002, 1662.1119, 3500.2809, 1650.1710, 3005.3121, 1644.7096, 2815.9802, 1587.5825, 1619.0893, 1588.3236, 1616.2034
56.8620, 1703.8974, 4977.2537, 1663.0524, 3498.8462, 1652.5224, 3001.2592, 1645.1400, 2813.2182, 1587.7440, 1620.3058, 1587.3850, 1615.1001
57.8620, 1703.5795, 4977.1775, 1661.8869, 3498.8788, 1652.5875, 3003.6513, 1644.8754, 2815.4304, 1586.9330, 1621.2973, 1587.8943, 1615.8281
58.8620, 1703.9011, 4977.6714, 1662.9510, 3494.6515, 1650.7137, 3001.1601, 1644.4948, 2817.2363, 1586.0155, 1620.2715, 1586.1162, 1615.5706
59.8620, 1702.6634, 4976.4635, 1661.9557, 3498.2751, 1649.6825, 2993.4586, 1643.0292, 2810.1856, 1586.7491, 1618.8385, 1586.5044, 1615.9354
60.8620, 1704.0866, 4977.5083, 1660.9196, 3496.8007, 1650.7693, 2999.2062, 1644.5936, 2812.3247, 1586.1821, 1617.6890, 1587.2090, 1616.0702
61.8620, 1702.8851, 4976.3385, 1662.5117, 3497.7249, 1650.6038, 3001.9308, 1645.1632, 2810.7680, 1585.8935, 1619.9588, 1587.3454, 1615.7175
62.8620, 1703.2755, 4975.9358, 1660.4464, 3496.0128, 1648.8684, 2999.4858, 1644.0112, 2813.6512, 1585.6718, 1619.3677, 1587.0347, 1616.1703
63.8620, 1702.7021, 4972.6367, 1660.7179, 3489.8776, 1649.7693, 3004.1995, 1643.0979, 2812.1409, 1585.0533, 1618.8230, 1587.3939, 1616.0807
64.8620, 1701.7098, 4973.8397, 1661.9336, 3495.2005, 1648.0529, 3007.8887, 1645.1607, 2809.2088, 1587.0361, 1620.1495, 1587.5908, 1616.2607
65.8620, 1702.4911, 4971.5034, 1661.9522, 3491.3019, 1650.6228, 3002.2822, 1644.7002, 2813.0593, 1587.9278, 1619.1065, 1586.2946, 1615.8773
66.8620, 1703.9020, 4967.2058, 1659.4429, 3491.4219, 1650.6839, 2998.3514, 1645.0473, 2813.4854, 1586.0412, 1618.2938, 1586.7910, 1614.8297
67.8620, 1703.4478, 4970.8876, 1660.9044, 3492.2133, 1650.9227, 2992.3894, 1644.2723, 2811.5507, 1586.6632, 1618.4605, 1586.9088, 1615.5424
68.8620, 1704.0012, 4970.9447, 1660.7914, 3493.5291, 1651.7788, 2994.2076, 1643.2474, 2811.5258, 1587.7543, 1619.0069, 1587.3123, 1616.0839
69.8620, 1702.4318, 4971.7878, 1662.3590, 3489.7121, 1650.0095, 2990.6662, 1644.7869, 2811.8187, 1585.5412, 1620.4485, 1586.2849, 1615.3293
70.8620, 1703.3584, 4968.2033, 1660.8415, 3493.5373, 1651.0176, 2987.0801, 1642.8488, 2805.8909, 1585.7268, 1619.0172, 1587.3204, 1615.7062
71.8620, 1703.7512, 4966.7374, 1661.5839, 3489.5291, 1650.4518, 2994.1791, 1643.4399, 2807.1718, 1587.9107, 1617.0533, 1587.3874, 1615.3454
72.8620, 1702.7850, 4968.5928, 1661.1795, 3487.5233, 1647.3324, 2999.9335, 1644.4510, 2806.8617, 1586.7096, 1618.8694, 1587.4996, 1616.3454
73.8620, 1702.8056, 4963.1330, 1661.4231, 3487.3065, 1650.6174, 2990.1357, 1644.9364, 2808.0747, 1586.0739, 1617.9828, 1586.5803, 1615.9758
74.8620, 1703.9853, 4964.3557, 1659.8695, 3490.1981, 1650.0597, 2979.9959, 1642.5945, 2808.9966, 1587.0275, 1618.8368, 1586.6360, 1615.1646
75.8620, 1703.8357, 4963.1170, 1661.5664, 3487.5408, 1651.0923, 2967.0706, 1643.7131, 2798.5043, 1586.3900, 1619.0000, 1586.8983, 1614.7417
76.8620, 1702.3277, 4960.0292, 1662.0408, 3486.3438, 1651.7503, 2965.2130, 1643.8574, 2804.5567, 1587.6770, 1619.4570, 1586.5997, 1614.7320
77.8620, 1703.0430, 4958.8689, 1661.2296, 3488.7786, 1649.4084, 2953.8630, 1643.8943, 2799.9983, 1586.0172, 1618.3522, 1586.0799, 1615.1469
78.8620, 1703.6591, 4959.6901, 1661.1550, 3495.6503, 1650.7802, 2952.8697, 1644.8789, 2800.3763, 1586.6787, 1620.6375, 1587.7070, 1615.4447
79.8620, 1702.6287, 4959.7847, 1662.2622, 3483.5594, 1651.1452, 2948.2795, 1644.6125, 2795.7706, 1586.8299, 1617.7990, 1586.5763, 1615.1840
